"No.","Time","Source","Destination","Protocol","Length","Info"
"724","41.302904","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"725","41.306265","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"726","41.472223","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"727","41.535194","172.253.118.188","192.168.1.19","TLSv1.2","385","Application Data"
"728","41.582831","192.168.1.19","172.253.118.188","TCP","54","58632  >  5228 [ACK] Seq=37 Ack=3349 Win=509 Len=0"
"729","41.677678","192.168.1.4","224.0.0.251","MDNS","254","Standard query response 0x0000 PTR DESKTOP-NOCB2OF._dosvc._tcp.local SRV 0 0 7680 DESKTOP-NOCB2OF.local TXT"
"730","41.677678","fe80::c0c4:caf4:43da:ac38","ff02::fb","MDNS","274","Standard query response 0x0000 PTR DESKTOP-NOCB2OF._dosvc._tcp.local SRV 0 0 7680 DESKTOP-NOCB2OF.local TXT"
"733","41.804646","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"734","41.804909","192.168.1.19","142.250.71.14","UDP","224","53677  >  443 Len=182"
"735","41.810912","142.250.71.14","192.168.1.19","UDP","73","443  >  53677 Len=31"
"736","41.816071","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"738","42.018711","192.168.1.19","142.250.71.14","UDP","71","53677  >  443 Len=29"
"739","42.021983","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"741","42.162190","142.250.71.14","192.168.1.19","UDP","1287","443  >  53677 Len=1245"
"742","42.162190","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"743","42.162190","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"744","42.162190","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"745","42.162190","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"746","42.162433","142.250.71.14","192.168.1.19","UDP","274","443  >  53677 Len=232"
"747","42.162494","142.250.71.14","192.168.1.19","UDP","293","443  >  53677 Len=251"
"748","42.163113","192.168.1.19","142.250.71.14","UDP","81","53677  >  443 Len=39"
"749","42.163371","192.168.1.19","142.250.71.14","UDP","74","53677  >  443 Len=32"
"750","42.166195","192.168.1.19","202.88.152.8","DNS","77","Standard query 0x3ec8 A beacons2.gvt2.com"
"751","42.166515","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"752","42.166954","192.168.1.19","202.88.152.8","DNS","77","Standard query 0x2a1a HTTPS beacons2.gvt2.com"
"753","42.168797","202.88.152.8","192.168.1.19","DNS","204","Standard query response 0x3ec8 A beacons2.gvt2.com A 142.251.184.94 NS ns2.google.com NS ns3.google.com NS ns1.google.com NS ns4.google.com A 216.239.32.10 A 216.239.36.10"
"756","42.188801","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"757","42.203407","202.88.152.8","192.168.1.19","DNS","134","Standard query response 0x2a1a HTTPS beacons2.gvt2.com SOA ns1.google.com"
"759","42.333597","192.168.1.19","157.240.23.53","TLSv1.2","123","Application Data"
"760","42.335789","157.240.23.53","192.168.1.19","TCP","56","443  >  49795 [ACK] Seq=506 Ack=510 Win=358 Len=0"
"768","42.423008","142.251.184.94","192.168.1.19","QUIC","1287","Protected Payload (KP0)"
"778","42.518326","157.240.23.53","192.168.1.19","TLSv1.2","142","Application Data"
"779","42.521020","192.168.1.19","157.240.23.53","TLSv1.2","126","Application Data"
"780","42.522540","157.240.23.53","192.168.1.19","TCP","56","443  >  49795 [ACK] Seq=594 Ack=582 Win=358 Len=0"
"781","42.537589","157.240.23.53","192.168.1.19","TLSv1.2","125","Application Data"
"782","42.581907","192.168.1.19","157.240.23.53","TCP","54","49795  >  443 [ACK] Seq=582 Ack=665 Win=511 Len=0"
"784","42.670099","142.251.184.94","192.168.1.19","QUIC","990","Protected Payload (KP0)"
"785","42.670099","142.251.184.94","192.168.1.19","QUIC","164","Protected Payload (KP0)"
"787","42.671190","142.251.184.94","192.168.1.19","QUIC","69","Protected Payload (KP0)"
"788","42.673213","142.251.184.94","192.168.1.19","QUIC","606","Protected Payload (KP0)"
"789","42.673213","142.251.184.94","192.168.1.19","QUIC","63","Protected Payload (KP0)"
"793","42.931395","142.250.196.35","192.168.1.19","QUIC","71","Protected Payload (KP0)"
"794","42.939095","142.251.184.94","192.168.1.19","QUIC","66","Protected Payload (KP0)"
"796","42.964057","142.250.196.35","192.168.1.19","QUIC","157","Protected Payload (KP0)"
"798","43.008029","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"799","43.033258","142.250.196.35","192.168.1.19","QUIC","66","Protected Payload (KP0)"
"801","43.206891","192.168.1.19","54.255.187.139","UDP","492","65251  >  1053 Len=1930"
"803","43.674266","192.168.1.19","54.179.212.40","UDP","492","65252  >  1053 Len=1930"
"804","43.734905","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"805","43.852332","104.18.36.252","192.168.1.19","TLSv1.2","78","Application Data"
"806","43.853076","192.168.1.19","104.18.36.252","TLSv1.2","82","Application Data"
"807","43.856431","104.18.36.252","192.168.1.19","TCP","54","443  >  58711 [ACK] Seq=73 Ack=85 Win=10 Len=0"
"808","44.442110","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"809","44.511101","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"810","44.515319","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"811","44.596886","192.168.1.19","104.18.36.252","TLSv1.2","84","Application Data"
"813","44.601039","104.18.36.252","192.168.1.19","TCP","54","443  >  58711 [ACK] Seq=73 Ack=115 Win=10 Len=0"
"815","44.604873","192.168.1.19","104.18.36.252","TCP","54","58711  >  443 [ACK] Seq=116 Ack=74 Win=512 Len=0"
"816","45.261317","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"817","45.651321","172.253.118.188","192.168.1.19","TLSv1.2","389","Application Data"
"818","45.698206","192.168.1.19","172.253.118.188","TCP","54","58632  >  5228 [ACK] Seq=37 Ack=3684 Win=507 Len=0"
"819","45.842057","54.169.5.36","192.168.1.19","TCP","54","[TCP Dup ACK 102#2] 80  >  57614 [ACK] Seq=1 Ack=1 Win=60 Len=0"
"820","45.842117","192.168.1.19","54.169.5.36","TCP","54","[TCP Dup ACK 103#2] 57614  >  80 [ACK] Seq=1 Ack=2 Win=514 Len=0"
"821","45.920597","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"822","45.920952","192.168.1.19","142.250.71.14","UDP","239","53677  >  443 Len=197"
"823","45.924687","142.250.71.14","192.168.1.19","UDP","72","443  >  53677 Len=30"
"824","45.932190","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"825","45.978377","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"826","46.134008","192.168.1.19","142.250.71.14","UDP","71","53677  >  443 Len=29"
"827","46.137843","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"828","46.280067","142.250.71.14","192.168.1.19","UDP","206","443  >  53677 Len=164"
"829","46.280215","142.250.71.14","192.168.1.19","UDP","1287","443  >  53677 Len=1245"
"830","46.280215","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"831","46.280215","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"832","46.280215","142.250.71.14","192.168.1.19","UDP","302","443  >  53677 Len=260"
"833","46.280498","192.168.1.19","142.250.71.14","UDP","76","53677  >  443 Len=34"
"834","46.280748","192.168.1.19","142.250.71.14","UDP","81","53677  >  443 Len=39"
"835","46.280876","192.168.1.19","142.250.71.14","UDP","76","53677  >  443 Len=34"
"836","46.280964","192.168.1.19","142.250.71.14","UDP","77","53677  >  443 Len=35"
"837","46.281057","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"838","46.289245","142.250.71.14","192.168.1.19","UDP","67","443  >  53677 Len=25"
"839","46.796505","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"840","47.175420","zte_b3:68:ac","Intel_12:62:ae","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"841","47.175461","Intel_12:62:ae","zte_b3:68:ac","ARP","42","192.168.1.19 is at 90:61:ae:12:62:ae"
"843","48.662532","192.168.1.19","54.255.187.139","UDP","492","55433  >  1053 Len=1930"
"845","49.134562","192.168.1.19","54.179.212.40","DNS","492","Standard query 0x0a04[Malformed Packet]"
"846","49.135833","192.168.1.19","54.255.193.226","TCP","66","59010  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"847","49.135921","192.168.1.19","54.169.7.73","TCP","1506","57613  >  80 [ACK] Seq=7761 Ack=1137 Win=510 Len=1452"
"850","49.136653","192.168.1.19","54.179.212.40","UDP","492","55435  >  1053 Len=1930"
"851","49.138748","54.169.7.73","192.168.1.19","TCP","56","80  >  57613 [ACK] Seq=1137 Ack=9701 Win=371 Len=0"
"852","49.152277","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"854","49.172085","192.168.1.19","54.255.193.226","TCP","54","59010  >  80 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"856","49.172466","192.168.1.19","54.255.193.226","TCP","1506","59010  >  80 [ACK] Seq=284 Ack=1 Win=132096 Len=1452 [TCP PDU reassembled in 857]"
"857","49.172466","192.168.1.19","54.255.193.226","HTTP","652","POST /cloudquery.php HTTP/1.1 "
"858","49.175226","54.255.193.226","192.168.1.19","TCP","54","80  >  59010 [ACK] Seq=1 Ack=284 Win=30720 Len=0"
"859","49.175226","54.255.193.226","192.168.1.19","TCP","54","80  >  59010 [ACK] Seq=1 Ack=2334 Win=34816 Len=0"
"861","49.221960","192.168.1.19","54.169.7.73","TCP","54","57613  >  80 [ACK] Seq=9701 Ack=1421 Win=516 Len=0"
"862","49.222131","54.255.193.226","192.168.1.19","HTTP","638","HTTP/1.1 200 OK "
