"No.","Time","Source","Destination","Protocol","Length","Info"
"938","51.079975","142.250.196.42","192.168.1.19","QUIC","162","Protected Payload (KP0)"
"940","51.081657","142.250.196.42","192.168.1.19","QUIC","71","Protected Payload (KP0)"
"941","51.081657","142.250.196.42","192.168.1.19","QUIC","67","Protected Payload (KP0)"
"943","51.157470","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"944","51.161765","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"946","51.325747","142.250.196.42","192.168.1.19","QUIC","66","Protected Payload (KP0)"
"947","51.346031","142.250.196.42","192.168.1.19","QUIC","859","Protected Payload (KP0)"
"948","51.346031","142.250.196.42","192.168.1.19","QUIC","75","Protected Payload (KP0)"
"950","51.389949","142.250.196.42","192.168.1.19","QUIC","66","Protected Payload (KP0)"
"951","51.396183","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"952","51.400399","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"953","51.412800","192.168.1.19","104.18.36.252","TCP","66","59011  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"955","51.417159","192.168.1.19","104.18.36.252","TCP","54","59011  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"956","51.417927","192.168.1.19","104.18.36.252","TCP","1454","59011  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 [TCP PDU reassembled in 957]"
"957","51.417927","192.168.1.19","104.18.36.252","TLSv1.3","642","Client Hello (SNI=stream.quillbot.com)"
"958","51.422331","104.18.36.252","192.168.1.19","TCP","54","443  >  59011 [ACK] Seq=1 Ack=1989 Win=73728 Len=0"
"961","51.424394","192.168.1.19","104.18.36.252","TCP","1454","59011  >  443 [ACK] Seq=2053 Ack=1382 Win=130048 Len=1400 [TCP PDU reassembled in 962]"
"962","51.424394","192.168.1.19","104.18.36.252","TLSv1.3","544","Application Data"
"963","51.435253","104.18.36.252","192.168.1.19","TCP","54","443  >  59011 [ACK] Seq=1382 Ack=3453 Win=73728 Len=0"
"964","51.436206","192.168.1.19","172.64.151.4","TLSv1.2","1454","Ignored Unknown Record"
"965","51.436206","192.168.1.19","172.64.151.4","TLSv1.2","1454","Ignored Unknown Record"
"966","51.436206","192.168.1.19","172.64.151.4","TLSv1.2","1340","Ignored Unknown Record"
"967","51.436403","192.168.1.19","172.64.151.4","TLSv1.2","93","Application Data"
"969","51.451909","172.64.151.4","192.168.1.19","TCP","54","443  >  58675 [ACK] Seq=1 Ack=1402 Win=11 Len=0"
"970","51.451909","172.64.151.4","192.168.1.19","TCP","54","443  >  58675 [ACK] Seq=1 Ack=2802 Win=12 Len=0"
"971","51.451909","172.64.151.4","192.168.1.19","TCP","54","443  >  58675 [ACK] Seq=1 Ack=4088 Win=12 Len=0"
"972","51.451909","172.64.151.4","192.168.1.19","TCP","54","443  >  58675 [ACK] Seq=1 Ack=4127 Win=12 Len=0"
"973","51.451909","172.64.151.4","192.168.1.19","TLSv1.2","93","Application Data"
"974","51.456216","172.64.151.4","192.168.1.19","TCP","66","[TCP Dup ACK 972#1] 443  >  58675 [ACK] Seq=40 Ack=4127 Win=12 Len=0 SLE=2727 SRE=4127"
"975","51.458542","172.64.151.4","192.168.1.19","TLSv1.2","143","Application Data"
"976","51.458629","192.168.1.19","172.64.151.4","TCP","54","58675  >  443 [ACK] Seq=4127 Ack=129 Win=513 Len=0"
"977","51.469648","104.18.36.252","192.168.1.19","TCP","54","443  >  59011 [ACK] Seq=1382 Ack=3943 Win=81920 Len=0"
"978","51.507273","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"979","51.626926","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"980","51.638234","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"981","51.854432","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"982","51.859097","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"983","52.074546","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"984","52.078620","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"986","52.191950","104.18.36.252","192.168.1.19","TLSv1.3","269","Application Data"
"987","52.192069","192.168.1.19","104.18.36.252","TCP","54","59011  >  443 [ACK] Seq=3943 Ack=2343 Win=131584 Len=0"
"988","52.195048","192.168.1.19","104.18.36.252","TLSv1.3","500","Application Data"
"989","52.198845","104.18.36.252","192.168.1.19","TCP","54","443  >  59011 [ACK] Seq=2343 Ack=4389 Win=81920 Len=0"
"990","52.224064","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"991","52.370071","192.168.1.19","142.250.182.46","UDP","652","58785  >  443 Len=610"
"992","52.375606","142.250.182.46","192.168.1.19","UDP","72","443  >  58785 Len=30"
"993","52.388826","192.168.1.19","142.250.182.46","UDP","75","58785  >  443 Len=33"
"994","52.457252","104.18.36.252","192.168.1.19","TLSv1.3","221","Application Data"
"995","52.497862","192.168.1.19","104.18.36.252","TCP","54","59011  >  443 [ACK] Seq=4389 Ack=2510 Win=131328 Len=0"
"996","52.577152","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"997","52.581237","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"998","52.741993","142.250.182.46","192.168.1.19","UDP","1030","443  >  58785 Len=988"
"999","52.741993","142.250.182.46","192.168.1.19","UDP","90","443  >  58785 Len=48"
"1000","52.741993","142.250.182.46","192.168.1.19","UDP","78","443  >  58785 Len=36"
"1001","52.741993","142.250.182.46","192.168.1.19","UDP","157","443  >  58785 Len=115"
"1002","52.743927","192.168.1.19","142.250.182.46","UDP","79","58785  >  443 Len=37"
"1003","52.748090","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1004","52.941398","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1005","52.950422","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1006","52.955355","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1007","53.169869","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1008","53.173579","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1009","53.404673","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1010","53.409009","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1012","53.622408","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1013","53.626467","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1015","53.672574","192.168.1.19","54.255.187.139","UDP","492","52702  >  1053 Len=1930"
"1016","53.756561","172.253.118.188","192.168.1.19","TLSv1.2","389","Application Data"
"1017","53.808426","192.168.1.19","172.253.118.188","TCP","54","58632  >  5228 [ACK] Seq=37 Ack=4354 Win=511 Len=0"
"1018","53.842167","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1019","53.846833","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1020","53.862536","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1021","54.031397","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"1022","54.031518","192.168.1.19","142.250.71.14","UDP","224","53677  >  443 Len=182"
"1023","54.033416","142.250.182.46","192.168.1.19","UDP","78","443  >  58785 Len=36"
"1024","54.037358","142.250.71.14","192.168.1.19","UDP","73","443  >  53677 Len=31"
"1025","54.037734","192.168.1.19","142.250.182.46","UDP","75","58785  >  443 Len=33"
"1026","54.043870","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"1027","54.059043","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1028","54.063218","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1030","54.140675","192.168.1.19","54.179.212.40","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1032","54.141458","192.168.1.19","54.179.212.40","UDP","492","57034  >  1053 Len=1930"
"1033","54.184690","54.179.212.40","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1035","54.185761","192.168.1.19","54.255.187.139","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1036","54.223464","54.255.187.139","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1038","54.224285","192.168.1.19","54.255.187.139","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1039","54.247062","192.168.1.19","142.250.71.14","UDP","71","53677  >  443 Len=29"
"1040","54.251560","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"1041","54.262006","54.255.187.139","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1042","54.278621","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1043","54.282811","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1044","54.377921","142.250.71.14","192.168.1.19","UDP","1287","443  >  53677 Len=1245"
"1045","54.377921","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"1046","54.377921","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"1047","54.377921","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"1048","54.377921","142.250.71.14","192.168.1.19","UDP","716","443  >  53677 Len=674"
"1049","54.377921","142.250.71.14","192.168.1.19","UDP","78","443  >  53677 Len=36"
"1050","54.389282","142.250.71.14","192.168.1.19","UDP","322","443  >  53677 Len=280"
"1051","54.389537","192.168.1.19","142.250.71.14","UDP","79","53677  >  443 Len=37"
"1052","54.393821","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"1053","54.484878","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1054","54.489270","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1055","54.681729","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1056","54.704160","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1057","54.708396","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1058","54.923785","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1059","54.936785","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1060","55.142157","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1061","55.146584","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1062","55.398543","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1063","55.561862","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1064","55.565746","142.250.182.46","192.168.1.19","UDP","67","443  >  58785 Len=25"
"1065","56.217860","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1066","56.370119","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1067","56.375350","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1068","56.485296","192.168.1.19","202.88.152.8","DNS","78","Standard query 0xa6ac A api2.amplitude.com"
"1069","56.486734","192.168.1.19","202.88.152.8","DNS","78","Standard query 0xa741 HTTPS api2.amplitude.com"
"1070","56.487852","202.88.152.8","192.168.1.19","DNS","206","Standard query response 0xa6ac A api2.amplitude.com A 44.236.42.231 A 52.35.116.192 A 35.161.228.198 A 44.236.28.5 A 34.223.188.56 A 54.191.104.245 A 52.36.165.150 A 34.213.79.11"
"1071","56.489765","202.88.152.8","192.168.1.19","DNS","160","Standard query response 0xa741 HTTPS api2.amplitude.com SOA ns-1262.awsdns-29.org"
"1072","56.491136","192.168.1.19","44.236.42.231","TCP","66","59012  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1074","56.733834","192.168.1.19","44.236.42.231","TCP","54","59012  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"1075","56.735639","192.168.1.19","44.236.42.231","TCP","1506","59012  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=1452 [TCP PDU reassembled in 1076]"
"1076","56.735639","192.168.1.19","44.236.42.231","TLSv1.3","515","Client Hello (SNI=api2.amplitude.com)"
"1077","56.934943","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1078","56.977380","44.236.42.231","192.168.1.19","TCP","54","443  >  59012 [ACK] Seq=1 Ack=1453 Win=45056 Len=0"
"1079","56.977846","44.236.42.231","192.168.1.19","TCP","54","443  >  59012 [ACK] Seq=1 Ack=1914 Win=47872 Len=0"
"1081","56.979671","44.236.42.231","192.168.1.19","TCP","1506","443  >  59012 [ACK] Seq=1453 Ack=1914 Win=47872 Len=1452 [TCP PDU reassembled in 1085]"
"1082","56.979671","44.236.42.231","192.168.1.19","TCP","1506","443  >  59012 [ACK] Seq=2905 Ack=1914 Win=47872 Len=1452 [TCP PDU reassembled in 1085]"
"1083","56.979671","44.236.42.231","192.168.1.19","TCP","1506","443  >  59012 [ACK] Seq=4357 Ack=1914 Win=47872 Len=1452 [TCP PDU reassembled in 1085]"
"1084","56.979863","192.168.1.19","44.236.42.231","TCP","54","59012  >  443 [ACK] Seq=1914 Ack=5809 Win=132096 Len=0"
"1087","56.981507","192.168.1.19","44.236.42.231","TLSv1.3","146","Application Data"
"1088","56.981988","192.168.1.19","44.236.42.231","TLSv1.3","388","Application Data"
"1089","56.982127","192.168.1.19","44.236.42.231","TLSv1.3","1450","Application Data"
"1090","57.222010","44.236.42.231","192.168.1.19","TCP","54","443  >  59012 [ACK] Seq=6288 Ack=1978 Win=47872 Len=0"
"1091","57.222010","44.236.42.231","192.168.1.19","TLSv1.3","233","Application Data"
"1092","57.222010","44.236.42.231","192.168.1.19","TLSv1.3","116","Application Data"
"1093","57.222112","192.168.1.19","44.236.42.231","TCP","54","59012  >  443 [ACK] Seq=3800 Ack=6529 Win=131328 Len=0"
"1094","57.222360","192.168.1.19","44.236.42.231","TLSv1.3","85","Application Data"
"1095","57.222848","44.236.42.231","192.168.1.19","TCP","54","443  >  59012 [ACK] Seq=6529 Ack=2404 Win=50688 Len=0"
"1096","57.222928","44.236.42.231","192.168.1.19","TLSv1.3","85","Application Data"
"1097","57.235942","44.236.42.231","192.168.1.19","TLSv1.3","285","Application Data"
"1098","57.235942","44.236.42.231","192.168.1.19","TLSv1.3","85","Application Data"
"1099","57.236068","192.168.1.19","44.236.42.231","TCP","54","59012  >  443 [ACK] Seq=3831 Ack=6822 Win=131072 Len=0"
"1100","57.504777","44.236.42.231","192.168.1.19","TCP","54","443  >  59012 [ACK] Seq=6822 Ack=3831 Win=68608 Len=0"
"1101","57.588534","192.168.1.19","20.249.168.121","TLSv1.2","111","Application Data"
"1102","57.688974","20.249.168.121","192.168.1.19","TLSv1.2","100","Application Data"
"1103","57.742799","192.168.1.19","20.249.168.121","TCP","54","57617  >  443 [ACK] Seq=115 Ack=93 Win=514 Len=0"
"1104","57.754077","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1105","57.773984","192.168.1.19","4.186.13.244","TLSv1.2","104","Application Data"
"1106","57.793350","4.186.13.244","192.168.1.19","TLSv1.2","93","Application Data"
"1107","57.835309","192.168.1.19","4.186.13.244","TCP","54","49793  >  443 [ACK] Seq=101 Ack=79 Win=513 Len=0"
"1108","57.842279","172.253.118.188","192.168.1.19","TLSv1.2","389","Application Data"
"1109","57.882709","192.168.1.19","172.253.118.188","TCP","54","58632  >  5228 [ACK] Seq=37 Ack=4689 Win=510 Len=0"
"1110","57.919667","4.224.95.102","192.168.1.19","TCP","1464","443  >  57616 [ACK] Seq=1123 Ack=253 Win=16384 Len=1410 [TCP PDU reassembled in 1111]"
"1111","57.919667","4.224.95.102","192.168.1.19","TLSv1.2","678","Application Data"
"1112","57.919667","4.224.95.102","192.168.1.19","TCP","1464","443  >  57616 [ACK] Seq=3157 Ack=253 Win=16384 Len=1410 [TCP PDU reassembled in 1113]"
"1113","57.919667","4.224.95.102","192.168.1.19","TLSv1.2","637","Application Data"
"1114","57.919855","192.168.1.19","4.224.95.102","TCP","54","57616  >  443 [ACK] Seq=253 Ack=5150 Win=515 Len=0"
"1115","57.975559","192.168.1.19","4.224.95.102","TLSv1.2","306","Application Data"
"1116","57.976871","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"1117","57.981019","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"1118","58.036169","4.224.95.102","192.168.1.19","TCP","54","443  >  57616 [ACK] Seq=5150 Ack=505 Win=16383 Len=0"
"1119","58.036224","192.168.1.19","4.224.95.102","TLSv1.2","304","Application Data"
"1120","58.097469","4.224.95.102","192.168.1.19","TCP","54","443  >  57616 [ACK] Seq=5150 Ack=755 Win=16382 Len=0"
"1121","58.103434","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"1122","58.103579","192.168.1.19","142.250.71.14","UDP","198","53677  >  443 Len=156"
"1123","58.107480","142.250.71.14","192.168.1.19","UDP","73","443  >  53677 Len=31"
"1124","58.117135","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"1125","58.137912","4.224.95.102","192.168.1.19","TCP","1464","443  >  57616 [ACK] Seq=5150 Ack=755 Win=16382 Len=1410 [TCP PDU reassembled in 1126]"
"1126","58.137912","4.224.95.102","192.168.1.19","TLSv1.2","681","Application Data"
"1127","58.137995","192.168.1.19","4.224.95.102","TCP","54","57616  >  443 [ACK] Seq=755 Ack=7187 Win=515 Len=0"
"1128","58.138206","4.224.95.102","192.168.1.19","TCP","1464","443  >  57616 [ACK] Seq=7187 Ack=755 Win=16382 Len=1410 [TCP PDU reassembled in 1129]"
"1129","58.138206","4.224.95.102","192.168.1.19","TLSv1.2","642","Application Data"
"1130","58.138316","192.168.1.19","4.224.95.102","TCP","54","57616  >  443 [ACK] Seq=755 Ack=9185 Win=515 Len=0"
"1131","58.139400","192.168.1.19","4.224.95.102","TLSv1.2","304","Application Data"
"1132","58.205254","4.224.95.102","192.168.1.19","TCP","54","443  >  57616 [ACK] Seq=9185 Ack=1005 Win=16381 Len=0"
"1133","58.205305","192.168.1.19","4.224.95.102","TLSv1.2","304","Application Data"
"1134","58.267421","4.224.95.102","192.168.1.19","TCP","54","443  >  57616 [ACK] Seq=9185 Ack=1255 Win=16380 Len=0"
"1135","58.318417","192.168.1.19","142.250.71.14","UDP","71","53677  >  443 Len=29"
"1136","58.322633","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"1137","58.459895","142.250.71.14","192.168.1.19","UDP","1287","443  >  53677 Len=1245"
"1138","58.459895","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"1139","58.459895","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"1140","58.459895","142.250.71.14","192.168.1.19","UDP","1292","443  >  53677 Len=1250"
"1141","58.459895","142.250.71.14","192.168.1.19","UDP","842","443  >  53677 Len=800"
"1142","58.462152","192.168.1.19","142.250.71.14","UDP","81","53677  >  443 Len=39"
"1143","58.465272","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"1144","58.470444","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1145","58.473041","142.250.71.14","192.168.1.19","UDP","108","443  >  53677 Len=66"
"1146","58.473199","142.250.71.14","192.168.1.19","UDP","78","443  >  53677 Len=36"
"1147","58.473676","192.168.1.19","142.250.71.14","UDP","76","53677  >  443 Len=34"
"1148","58.473989","192.168.1.19","142.250.71.14","UDP","74","53677  >  443 Len=32"
"1150","59.151254","192.168.1.19","54.255.187.139","UDP","492","63052  >  1053 Len=1930"
"1151","59.187471","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"1153","59.654893","192.168.1.19","54.179.212.40","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1154","59.655981","192.168.1.19","54.255.193.226","TCP","66","59013  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1155","59.656057","192.168.1.19","54.169.7.73","TCP","1506","57613  >  80 [ACK] Seq=9701 Ack=1421 Win=516 Len=1452"
"1158","59.656856","192.168.1.19","54.179.212.40","UDP","492","63054  >  1053 Len=1930"
"1159","59.658613","54.169.7.73","192.168.1.19","TCP","56","80  >  57613 [ACK] Seq=1421 Ack=11641 Win=379 Len=0"
"1160","59.692354","54.179.212.40","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1162","59.693211","192.168.1.19","54.255.193.226","TCP","54","59013  >  80 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"1164","59.693672","192.168.1.19","54.255.193.226","TCP","1506","59013  >  80 [ACK] Seq=284 Ack=1 Win=132096 Len=1452 [TCP PDU reassembled in 1165]"
"1165","59.693672","192.168.1.19","54.255.193.226","HTTP","660","POST /cloudquery.php HTTP/1.1 "
"1167","59.694592","192.168.1.19","54.179.212.40","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1168","59.696123","54.255.193.226","192.168.1.19","TCP","54","80  >  59013 [ACK] Seq=1 Ack=284 Win=30720 Len=0"
"1169","59.696836","54.255.193.226","192.168.1.19","TCP","54","80  >  59013 [ACK] Seq=1 Ack=1736 Win=33280 Len=0"
"1170","59.698119","54.255.193.226","192.168.1.19","TCP","54","80  >  59013 [ACK] Seq=1 Ack=2342 Win=36352 Len=0"
"1172","59.732531","54.179.212.40","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1174","59.733827","192.168.1.19","54.255.187.139","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1175","59.737665","54.255.193.226","192.168.1.19","HTTP","638","HTTP/1.1 200 OK "
"1177","59.754753","192.168.1.19","54.169.7.73","TCP","54","57613  >  80 [ACK] Seq=11641 Ack=1705 Win=515 Len=0"
"1178","59.771752","54.255.193.226","192.168.1.19","TCP","54","80  >  59013 [ACK] Seq=585 Ack=2343 Win=36352 Len=0"
"1179","59.771752","54.255.187.139","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1181","59.772642","192.168.1.19","54.255.187.139","DNS","492","Standard query 0x0a04[Malformed Packet]"
"1183","59.775105","192.168.1.19","54.255.193.226","TCP","54","59013  >  80 [ACK] Seq=2343 Ack=586 Win=131328 Len=0"
"1184","59.809989","54.255.187.139","192.168.1.19","DNS","118","Standard query 0x0a04[Malformed Packet]"
"1185","60.006540","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
